#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
02968811   2455271.3396         13.177  0.013   R  SLT
02968811   2455272.3459         13.210  0.008   R  SLT
02968811   2455273.3419         13.220  0.010   R  SLT
02968811   2455298.3162         13.135  0.006   R  SLT
02968811   2455298.3610         13.121  0.006   R  SLT
02968811   2455298.2717         13.150  0.009   R  SLT
02968811   2455299.3288         13.166  0.007   R  SLT
02968811   2455299.2864         13.158  0.011   R  SLT
02968811   2455300.2850         13.188  0.014   R  SLT
02968811   2455312.2080         13.112  0.005   R  SLT
02968811   2455317.1846         13.222  0.005   R  SLT
02968811   2455330.2279         13.196  0.004   R  SLT
02968811   2455333.3470         13.275  0.005   R  SLT
02968811   2455388.3415         13.165  0.005   R  SLT
02968811   2455390.2620         13.186  0.005   R  SLT
02968811   2455392.3096         13.215  0.005   R  SLT
02968811   2455393.3116         13.270  0.006   R  SLT
02968811   2455416.2840         13.144  0.007   R  SLT
02968811   2455422.2529         13.267  0.006   R  SLT
02968811   2455423.2438         13.328  0.005   R  SLT
02968811   2455425.2493         13.372  0.007   R  SLT
02968811   2455428.2305         13.205  0.006   R  SLT
02968811   2455429.2284         13.164  0.007   R  SLT
02968811   2455283.0086         13.137  0.010   R  TNG
02968811   2455285.0066         13.174  0.010   R  TNG
02968811   2455286.0044         13.189  0.008   R  TNG
02968811   2455287.0046         13.181  0.010   R  TNG
02968811   2455289.0019         13.206  0.013   R  TNG
02968811   2455290.0023         13.252  0.009   R  TNG
02968811   2455291.0007         13.265  0.009   R  TNG
02968811   2455292.0004         13.300  0.009   R  TNG
02968811   2455292.9996         13.269  0.009   R  TNG
02968811   2455293.9975         13.288  0.012   R  TNG
02968811   2455294.9977         13.192  0.009   R  TNG
02968811   2455295.9869         13.145  0.008   R  TNG
02968811   2455296.9950         13.098  0.008   R  TNG
02968811   2455298.9958         13.149  0.007   R  TNG
02968811   2455299.9934         13.176  0.007   R  TNG
02968811   2455300.9930         13.181  0.007   R  TNG
02968811   2455301.9913         13.197  0.008   R  TNG
02968811   2455302.9906         13.232  0.014   R  TNG
02968811   2455303.9893         13.238  0.008   R  TNG
02968811   2455304.9889         13.289  0.091   R  TNG
02968811   2455306.9871         13.284  0.008   R  TNG
02968811   2455318.9777         13.264  0.005   R  TNG
02968811   2455319.9770         13.274  0.005   R  TNG
02968811   2455320.9763         13.316  0.005   R  TNG
02968811   2455321.9762         13.305  0.005   R  TNG
02968811   2455322.9759         13.253  0.005   R  TNG
02968811   2455323.9747         13.206  0.004   R  TNG
02968811   2455324.9718         13.154  0.008   R  TNG
02968811   2455325.9697         13.104  0.004   R  TNG
02968811   2455326.9666         13.100  0.004   R  TNG
02968811   2455327.9641         13.124  0.004   R  TNG
02968811   2455329.9584         13.183  0.003   R  TNG
02968811   2455330.9564         13.212  0.003   R  TNG
02968811   2455331.9532         13.194  0.013   R  TNG
02968811   2455332.9497         13.241  0.003   R  TNG
02968811   2455333.9473         13.280  0.003   R  TNG
02968811   2455334.9476         13.289  0.004   R  TNG
02968811   2455335.9458         13.334  0.004   R  TNG
02968811   2455336.9392         13.324  0.004   R  TNG
02968811   2455338.9368         13.230  0.003   R  TNG
02968811   2455339.9315         13.173  0.003   R  TNG
02968811   2455342.9232         13.133  0.003   R  TNG
02968811   2455343.9203         13.150  0.003   R  TNG
02968811   2455346.9112         13.202  0.004   R  TNG
02968811   2455347.9089         13.253  0.004   R  TNG
02968811   2455348.9280         13.281  0.004   R  TNG
02968811   2455349.9050         13.312  0.004   R  TNG
02968811   2455350.9056         13.350  0.004   R  TNG
02968811   2455351.9027         13.348  0.004   R  TNG
02968811   2455352.8997         13.322  0.004   R  TNG
02968811   2455355.8885         13.124  0.004   R  TNG
02968811   2455356.8856         13.123  0.004   R  TNG
