#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
   186871749 28.708976  0.250375  50727.3538158 14.040  0.028  A 13.968  0.037  A 13.787  0.061  A
   186871852 28.708988  0.250375  50727.3541158 14.102  0.027  A 13.964  0.036  A 13.881  0.064  A
   183833205 28.709017  0.250377  50733.2284125 14.227  0.033  A 14.036  0.052  A 13.851  0.058  A
   184323652 28.709006  0.250395  50733.2303125 14.139  0.032  A 13.981  0.053  A 13.983  0.063  A
   184323759 28.708994  0.250416  50733.2320126 14.258  0.032  A 13.965  0.055  A 13.899  0.066  A
   184326852 28.708990  0.250383  50733.2324126 14.202  0.033  A 14.011  0.057  A 13.934  0.075  A
   184326932 28.708978  0.250423  50733.2341126 14.182  0.028  A 13.934  0.045  A 13.848  0.057  A
   184329866 28.709009  0.250369  50733.2344126 14.225  0.026  A 13.898  0.038  A 13.888  0.054  A
   184329957 28.709013  0.250369  50733.3210136 14.184  0.029  A 13.909  0.036  A 13.918  0.049  A
   184392068 28.709018  0.250365  50733.3214136 14.214  0.028  A 14.034  0.036  A 13.846  0.044  A
   184392165 28.708996  0.250400  50733.3231136 14.226  0.024  A 13.947  0.038  A 13.933  0.047  A
   184394944 28.709002  0.250368  50733.3234136 14.246  0.029  A 13.975  0.041  A 13.851  0.044  A
   184395046 28.708976  0.250400  50733.3252137 14.319  0.029  A 14.073  0.039  A 14.026  0.055  A
   184397792 28.709014  0.250415  50733.3255137 14.295  0.029  A 13.966  0.038  A 13.958  0.050  A
   184397883 28.708983  0.250380  50733.4081146 14.249  0.028  A 13.987  0.041  A 13.875  0.051  A
   184411244 28.708993  0.250380  50733.4084146 14.247  0.026  A 13.894  0.038  A 13.924  0.053  A
   184411341 28.709018  0.250377  50733.4101146 14.322  0.028  A 14.002  0.040  A 13.922  0.054  A
   184414394 28.709004  0.250381  50733.4105146 14.327  0.030  A 13.978  0.040  A 14.010  0.056  A
   184414507 28.708989  0.250376  50733.4121146 14.276  0.026  A 13.992  0.043  A 13.910  0.055  A
   184417672 28.709010  0.250357  50733.4125146 14.340  0.031  A 14.004  0.041  A 13.983  0.053  A
   193760299 28.709003  0.250375  50740.3728528 14.279  0.026  A 13.954  0.033  A 13.843  0.045  A
